0,1,2
602,0,0
603,0,0
606,0,0
610,0,0
612,0,0
616,0,0
617,0,0
622,0,0
623,0,0
624,0,0
627,0,0
631,0,0
637,0,0
638,0,0
641,0,0
646,0,0
647,0,0
650,0,0
652,0,0
653,0,0
656,0,0
659,0,0
660,0,0
662,0,0
664,0,0
667,0,0
669,0,0
670,0,0
674,0,0
676,0,0
677,0,0
678,0,0
680,0,0
682,0,0
683,0,0
685,0,0
687,0,0
688,0,0
690,0,0
692,0,0
693,0,0
694,0,0
698,0,0
703,0,0
704,0,0
705,0,0
707,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
723,0,0
725,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
735,0,0
736,0,0
738,0,0
739,0,0
740,0,0
741,0,0
745,0,0
751,0,0
754,0,0
757,0,0
765,0,0
766,0,0
767,0,0
769,0,0
771,0,0
772,0,0
773,0,0
775,0,0
777,0,0
778,0,0
780,0,0
782,0,0
783,0,0
784,0,0
786,0,0
791,0,0
794,0,0
795,0,0
901,0,0
906,0,0
907,0,0
909,0,0
911,0,0
912,0,0
913,0,0
915,0,0
917,0,0
918,0,0
920,0,0
921,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
934,0,0
936,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
956,0,0
957,0,0
959,0,0
960,0,0
961,0,0
962,0,0
965,0,0
966,0,0
968,0,0
969,0,0
971,0,0
976,0,0
979,0,0
982,0,0
983,0,0
985,0,0
987,0,0
1001,0,0
1002,0,0
1003,0,0
1005,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1020,0,0
1022,0,0
1026,0,0
1027,0,0
1028,0,0
1029,0,0
1030,0,0
1031,0,0
1032,0,0
1033,0,0
1034,0,0
1035,1,0
1036,0,0
1037,0,0
1038,0,0
1039,0,0
1040,2,0
1050,0,0
1053,0,0
1054,0,0
1056,2,0
1057,0,0
1060,0,0
1062,0,0
1063,0,0
1066,0,0
1068,0,0
1069,0,0
1070,0,0
1071,0,0
1072,0,0
1073,0,0
1074,0,0
1075,0,0
1077,0,0
1079,0,0
1080,0,0
1081,0,0
1082,0,0
1083,0,0
1084,0,0
1085,0,0
1086,0,0
1088,0,0
1089,0,0
1092,0,0
1093,0,0
1094,0,0
1095,0,0
1096,0,0
1097,0,0
1098,0,0
1103,0,0
1104,0,0
1105,0,0
1106,0,0
1107,0,0
1108,0,0
1109,0,0
1118,0,0
1119,0,0
1128,0,0
1129,0,0
1151,0,0
1199,0,0
1201,1,0
1220,0,0
1222,0,0
1223,0,0
1224,0,0
1225,0,0
1226,0,0
1229,0,0
1230,0,0
1235,0,0
1236,0,0
1237,0,0
1238,0,0
1240,0,0
1242,0,0
1243,0,0
1244,0,0
1245,0,0
1247,0,0
1253,0,0
1254,0,0
1255,0,0
1256,0,0
1257,0,0
1258,0,0
1259,0,0
1260,0,0
1262,0,0
1264,0,0
1266,0,0
1267,0,0
1270,0,0
1301,0,0
1330,0,0
1331,1,0
1337,0,0
1338,0,0
1339,0,0
1340,0,0
1341,0,0
1342,0,0
1343,0,0
1344,0,0
1346,0,0
1347,0,0
1349,0,0
1350,0,0
1351,0,0
1354,0,0
1355,0,0
1360,0,0
1364,0,0
1366,0,0
1367,0,0
1368,0,0
1370,0,0
1373,0,0
1375,0,0
1376,0,0
1378,0,0
1379,0,0
1420,0,0
1430,0,0
1431,0,0
1432,0,0
1434,0,0
1436,0,0
1438,0,0
1440,0,0
1450,0,0
1451,0,0
1452,0,0
1453,0,0
1460,1,0
1462,0,0
1463,0,0
1464,0,0
1467,0,0
1468,0,0
1469,0,0
1473,0,0
1474,0,0
1475,0,0
1501,0,0
1503,0,0
1504,0,0
1505,0,0
1506,1,0
1507,0,0
1510,0,0
1515,0,0
1516,0,0
1518,0,0
1519,0,0
1520,0,0
1521,0,0
1522,0,0
1523,0,0
1524,0,0
1525,0,0
1527,0,0
1529,0,0
1531,0,0
1532,1,0
1534,0,0
1535,0,0
1536,0,0
1537,0,0
1540,0,0
1541,0,0
1542,0,0
1543,0,0
1545,1,0
1550,0,0
1560,0,0
1561,0,0
1562,0,0
1564,0,0
1566,0,0
1568,0,0
1569,0,0
1570,1,0
1571,0,0
1581,0,0
1583,0,0
1585,0,0
1588,0,0
1590,2,0
1602,0,0
1603,0,0
1604,0,0
1605,1,0
1606,0,0
1607,0,0
1608,0,0
1609,0,0
1610,0,0
1611,0,0
1612,0,0
1701,1,0
1702,0,0
1718,0,0
1719,0,0
1720,0,0
1721,0,0
1730,0,0
1731,0,0
1740,0,0
1741,0,0
1742,0,0
1745,0,0
1746,0,0
1747,0,0
1748,2,0
1749,0,0
1752,2,0
1754,0,0
1756,0,0
1757,1,0
1760,2,0
1770,0,0
1772,0,0
1773,0,0
1775,0,0
1776,0,0
1778,0,0
1801,0,0
1803,3,0
1810,0,0
1821,0,0
1824,0,0
1826,0,0
1827,0,0
1830,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1840,0,0
1841,0,0
1843,0,0
1844,0,0
1845,0,0
1850,0,0
1851,0,0
1852,0,0
1854,1,0
1860,0,0
1862,0,0
1863,0,0
1864,0,0
1867,0,0
1876,0,0
1879,0,0
1880,0,0
1886,0,0
1887,1,0
1890,0,0
1901,0,0
1902,0,0
1904,0,0
1905,1,0
1906,0,0
1907,0,0
1908,0,0
1913,0,0
1915,0,0
1921,0,0
1922,0,0
1923,1,0
1929,0,0
1930,0,0
1937,0,0
1938,0,0
1940,0,0
1944,0,0
1945,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1960,1,0
1966,0,0
1969,0,0
1970,1,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
2019,0,0
2021,0,0
2025,0,0
2026,1,0
2030,0,0
2032,0,0
2035,0,0
2038,2,0
2043,0,0
2045,0,0
2047,0,0
2048,0,0
2050,0,0
2052,1,0
2053,0,0
2054,0,0
2056,0,0
2061,0,0
2062,0,0
2066,0,0
2067,0,0
2071,0,0
2072,0,0
2081,1,0
2090,2,0
2093,0,0
2108,1,0
2109,1,0
2110,1,0
2111,0,0
2113,0,0
2114,0,0
2115,1,0
2116,3,0
2118,0,0
2119,0,0
2120,0,0
2121,0,0
2122,0,0
2124,0,0
2125,1,0
2126,0,0
2127,2,0
2128,7,0
2129,0,0
2130,0,0
2131,0,0
2132,0,0
2134,1,0
2135,0,0
2136,0,0
2138,3,0
2139,0,0
2140,0,0
2141,1,0
2142,0,0
2143,0,0
2144,0,0
2145,1,0
2148,0,0
2149,0,0
2150,0,0
2151,0,0
2152,0,0
2155,0,0
2163,0,0
2169,0,0
2170,0,0
2171,0,0
2176,0,0
2180,0,0
2184,3,0
2186,0,0
2188,0,0
2189,0,0
2190,0,0
2191,0,0
2199,0,0
2203,0,0
2210,3,0
2215,4,0
2301,1,0
2302,0,0
2322,0,0
2324,0,0
2330,0,0
2332,0,0
2333,0,0
2338,0,0
2339,0,0
2341,0,0
2343,0,0
2346,0,0
2347,0,0
2351,0,0
2356,0,0
2357,0,0
2359,0,0
2360,0,0
2364,1,0
2366,0,0
2367,0,0
2368,0,0
2370,0,0
2375,0,0
2379,0,0
2382,0,0
2420,0,0
2421,0,0
